Q28,Q39_Part_1,Q39_Part_2,Q39_Part_3,Q39_Part_4,Q39_Part_5,Q39_Part_6,Q39_Part_7,Q39_Part_8,Q39_Part_9,Q39_OTHER,Q40_Part_1,Q40_Part_2,Q40_Part_3,Q40_Part_4,Q40_Part_5,Q40_Part_6,Q40_Part_7,Q40_Part_8,Q40_Part_9,Q40_Part_10,Q40_Part_11,Q40_OTHER
,,,, GitHub ,, Kaggle ,,,,,Coursera,edX,Kaggle Learn Courses,DataCamp,,Udacity,Udemy,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",University Courses (resulting in a university degree),,
,,,,,,,,,I do not share my work publicly,,,,,DataCamp,,,,,,,,
,,,,,,,,,,,Coursera,edX,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,,,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,,,,,,,,,,,,
, Plotly Dash ,,,,, Kaggle ,,,,,Coursera,,Kaggle Learn Courses,,,,Udemy,LinkedIn Learning,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,Udemy,,,,,
,,,,,,,,,I do not share my work publicly,,,,,DataCamp,,,Udemy,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,edX,,DataCamp,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,, Kaggle ,,,,,Coursera,edX,Kaggle Learn Courses,DataCamp,,,Udemy,,,,,
,,,,,,,,,,,Coursera,,,,,,,,,,,
,,,,,,,,,,,Coursera,,,,,Udacity,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,Coursera,,,DataCamp,,Udacity,,LinkedIn Learning,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,Kaggle Learn Courses,,,Udacity,Udemy,,,,,
,,,,,,,,,I do not share my work publicly,,,,,,,,,,,,None,
,,,, GitHub ,, Kaggle , Colab ,,,,Coursera,,,DataCamp,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Other
,,,,,,,,,,,Coursera,,,,,Udacity,Udemy,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,Fast.ai,,Udemy,,,,,
,,,,,,,,,,,Coursera,,,,,,,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,I do not share my work publicly,,,,,,,,,,,,None,
,,,,,,,,,,Other,,,,,,,,,,,,Other
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,Kaggle Learn Courses,DataCamp,,,,,,University Courses (resulting in a university degree),,Other
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,Udemy,LinkedIn Learning,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,, Kaggle ,,,,,,,,,,,,,,,None,
,,,,,,,,,,,Coursera,,,,,,Udemy,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,,,,,,,Udemy,,,,,
,,,,,,,,,I do not share my work publicly,,,,,,,,,,,,None,
,,,, GitHub ,, Kaggle ,,,,,,,,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,,,,,Udemy,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,edX,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,LinkedIn Learning,,University Courses (resulting in a university degree),,
, Plotly Dash , Streamlit ,, GitHub , Personal blog , Kaggle , Colab ,,,,Coursera,,,,,,,,,University Courses (resulting in a university degree),,
,,,, GitHub ,,,,,,,Coursera,,,,,,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",University Courses (resulting in a university degree),,
,,,,,,,,,,,Coursera,edX,,DataCamp,,Udacity,Udemy,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,I do not share my work publicly,,Coursera,,,,,,Udemy,,,,,
 Google Cloud Platform (GCP) ,,,,,,, Colab ,,,,Coursera,,Kaggle Learn Courses,DataCamp,,Udacity,Udemy,LinkedIn Learning,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,edX,Kaggle Learn Courses,,,Udacity,,LinkedIn Learning,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,Udemy,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",,,
,,,,,, Kaggle , Colab ,,,,Coursera,,Kaggle Learn Courses,,,Udacity,Udemy,,,University Courses (resulting in a university degree),,
,,,,,,,,,,Other,Coursera,edX,Kaggle Learn Courses,,,,Udemy,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Other
 Google Cloud Platform (GCP) ,,,, GitHub ,,,,,,,Coursera,,,,,Udacity,Udemy,,,,,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,Fast.ai,Udacity,,,,University Courses (resulting in a university degree),,
,,,, GitHub ,,,,,,,,,Kaggle Learn Courses,,,Udacity,,,,,,
,,,,,,,,,,,,,,,,,,,,,None,
,,,, GitHub ,,,,,,,,,,,,,Udemy,,,,,
 SAP Cloud ,,,,,,,,,I do not share my work publicly,,Coursera,edX,,,,Udacity,Udemy,,,,,Other
,,,,,,,,,I do not share my work publicly,,Coursera,,Kaggle Learn Courses,,,,,,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)",University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,,,,,,Other
,,,,,,,,,I do not share my work publicly,,,,,,,,Udemy,,,,,
,,,,,, Kaggle ,,,,,Coursera,,Kaggle Learn Courses,,,,Udemy,LinkedIn Learning,,,,
 Google Cloud Platform (GCP) ,, Streamlit , NBViewer ,,,,,,,,,edX,,DataCamp,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Coursera,,,,,,,,,,,
 Google Cloud Platform (GCP) ,,,, GitHub ,,,,,,,,,,,,,,,,,,Other
,,,, GitHub ,, Kaggle ,,,,,,,,DataCamp,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Google Cloud Platform (GCP) ,,,, GitHub , Personal blog ,,,,,,,,,,Fast.ai,,,,,,,
,,,, GitHub ,, Kaggle ,,,,,Coursera,edX,Kaggle Learn Courses,DataCamp,Fast.ai,Udacity,Udemy,,,University Courses (resulting in a university degree),,
,,,, GitHub ,, Kaggle ,,,,,,,Kaggle Learn Courses,,,,,,,,,
,,,,,,,,,,,Coursera,,,DataCamp,,,Udemy,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,DataCamp,,,Udemy,,,,,
,,,,,,,,,,,Coursera,,Kaggle Learn Courses,,,,,,,University Courses (resulting in a university degree),,
,,,,,,,,,I do not share my work publicly,,Coursera,,,,,,Udemy,,,,,
,,,,,,,,,,,Coursera,,,,,,Udemy,,,University Courses (resulting in a university degree),,
,,,,,,,,,,,,,,,,,Udemy,,,,,
 Microsoft Azure ,,,,,,,,,I do not share my work publicly,,Coursera,,,,,,Udemy,LinkedIn Learning,,,,
