,index,age,gender
0,0,50-54,Man
1,1,50-54,Man
2,2,22-24,Man
3,3,45-49,Man
4,4,45-49,Man
5,5,25-29,Woman
6,6,18-21,Woman
7,7,30-34,Man
8,8,22-24,Man
9,9,30-34,Man
10,10,40-44,Man
11,11,18-21,Woman
12,12,18-21,Woman
13,13,45-49,Man
14,14,22-24,Man
15,15,35-39,Man
16,16,50-54,Man
17,17,18-21,Man
18,18,22-24,Man
19,19,30-34,Man
20,20,70+,Man
21,21,25-29,Woman
22,22,30-34,Man
23,23,35-39,Man
24,24,18-21,Man
25,25,25-29,Woman
26,26,45-49,Man
27,27,22-24,Man
28,28,22-24,Woman
29,29,18-21,Man
30,30,22-24,Man
31,31,30-34,Man
32,32,22-24,Nonbinary
33,33,30-34,Woman
34,34,22-24,Man
35,35,30-34,Woman
36,36,25-29,Woman
37,37,30-34,Man
38,38,22-24,Man
39,39,18-21,Man
40,40,25-29,Man
41,41,25-29,Man
42,42,55-59,Man
43,43,30-34,Woman
44,44,18-21,Man
45,45,40-44,Man
46,46,22-24,Man
47,47,18-21,Woman
48,48,25-29,Man
49,49,30-34,Woman
50,50,25-29,Man
51,51,40-44,Man
52,52,40-44,Man
53,53,40-44,Man
54,54,30-34,Man
55,55,22-24,Woman
56,56,30-34,Woman
57,57,35-39,Woman
58,58,18-21,Man
59,59,35-39,Man
60,60,18-21,Man
61,61,18-21,Man
62,62,30-34,Man
63,63,18-21,Man
64,64,18-21,Man
65,65,40-44,Man
66,66,30-34,Prefer not to say
67,67,30-34,Man
68,68,35-39,Man
69,69,40-44,Man
70,70,25-29,Man
71,71,22-24,Man
72,72,30-34,Woman
73,73,45-49,Man
74,74,22-24,Man
75,75,40-44,Man
76,76,50-54,Man
77,77,22-24,Man
78,78,25-29,Man
79,79,22-24,Man
80,80,35-39,Man
81,81,30-34,Man
82,82,30-34,Man
83,83,18-21,Man
84,84,25-29,Man
85,85,22-24,Man
86,86,25-29,Man
87,87,25-29,Man
88,88,25-29,Woman
89,89,55-59,Man
90,90,25-29,Woman
91,91,30-34,Man
92,92,22-24,Man
93,93,55-59,Man
94,94,18-21,Man
95,95,30-34,Man
96,96,25-29,Man
97,97,40-44,Man
98,98,22-24,Man
99,99,22-24,Man
100,100,18-21,Woman
101,101,25-29,Man
102,102,22-24,Man
103,103,25-29,Man
104,104,40-44,Woman
105,105,35-39,Man
106,106,30-34,Man
107,107,55-59,Man
108,108,40-44,Man
109,109,22-24,Man
110,110,18-21,Man
111,111,22-24,Woman
112,112,45-49,Man
113,113,30-34,Woman
114,114,18-21,Man
115,115,60-69,Man
116,116,25-29,Man
117,117,40-44,Man
118,118,18-21,Woman
119,119,35-39,Man
120,120,18-21,Man
121,121,70+,Man
122,122,40-44,Man
123,123,30-34,Man
124,124,60-69,Man
125,125,25-29,Man
126,126,40-44,Man
127,127,40-44,Woman
128,128,22-24,Man
129,129,30-34,Man
130,130,45-49,Man
131,131,18-21,Man
132,132,25-29,Man
133,133,35-39,Man
134,134,25-29,Man
135,135,30-34,Woman
136,136,18-21,Woman
137,137,18-21,Man
138,138,25-29,Woman
139,139,40-44,Man
140,140,18-21,Man
141,141,25-29,Man
142,142,30-34,Man
143,143,25-29,Man
144,144,35-39,Man
145,145,18-21,Man
146,146,40-44,Man
147,147,22-24,Man
148,148,30-34,Woman
149,149,25-29,Man
150,150,70+,Woman
151,151,22-24,Woman
152,152,18-21,Man
153,153,22-24,Man
154,154,18-21,Woman
155,155,30-34,Man
156,156,22-24,Woman
157,157,22-24,Man
158,158,30-34,Man
159,159,22-24,Woman
160,160,50-54,Man
161,161,60-69,Man
162,162,30-34,Man
163,163,22-24,Woman
164,164,50-54,Man
165,165,25-29,Man
166,166,22-24,Man
167,167,45-49,Man
168,168,22-24,Man
169,169,35-39,Man
170,170,60-69,Man
171,171,22-24,Man
172,172,30-34,Man
173,173,40-44,Man
174,174,18-21,Man
175,175,40-44,Woman
176,176,30-34,Man
177,177,35-39,Man
178,178,22-24,Woman
179,179,25-29,Man
180,180,22-24,Man
181,181,18-21,Man
182,182,22-24,Woman
183,183,35-39,Man
184,184,30-34,Man
185,185,18-21,Man
186,186,35-39,Man
187,187,60-69,Man
188,188,30-34,Man
189,189,30-34,Man
190,190,40-44,Man
191,191,55-59,Man
192,192,18-21,Man
193,193,30-34,Woman
194,194,40-44,Man
195,195,35-39,Man
196,196,22-24,Woman
197,197,40-44,Man
198,198,25-29,Man
199,199,25-29,Man
200,200,30-34,Man
201,201,30-34,Man
202,202,22-24,Man
203,203,30-34,Man
204,204,22-24,Man
205,205,30-34,Man
206,206,18-21,Man
207,207,22-24,Man
208,208,18-21,Man
209,209,45-49,Man
210,210,35-39,Man
211,211,30-34,Nonbinary
212,212,55-59,Man
213,213,18-21,Woman
214,214,18-21,Man
215,215,35-39,Woman
216,216,30-34,Man
217,217,18-21,Prefer not to say
218,218,30-34,Man
219,219,18-21,Woman
220,220,30-34,Man
221,221,60-69,Man
222,222,35-39,Man
